name,ticker,sector
Enterprise Products Par..,EPD,Energy
Enbridge,ENB,Energy
Universal,UVV,Consumer Staples
Telephone and Data Syst..,TDS,Communication Services
Universal Health Realty..,UHT,Real Estate
3M,MMM,Industrials
Walgreens Boots Alliance,WBA,Consumer Staples
WP Carey,WPC,Real Estate
Leggett & Platt,LEG,Consumer Discretionary
IBM,IBM,Information Technology
National Retail Propert..,NNN,Real Estate
First of Long Island,FLIC,Financials
Realty Income,O,Real Estate
T Rowe Price Group,TROW,Financials
Essex Property Trust,ESS,Real Estate
Community Trust Bancorp,CTBI,Financials
Northwest Natural Holding,NWN,Utilities
Federal Realty Investme..,FRT,Real Estate
Franklin Resources,BEN,Financials
Stanley Black & Decker,SWK,Industrials
United Bankshares,UBSI,Financials
UGI,UGI,Utilities
Kimberly-Clark,KMB,Consumer Staples
Old Republic Internatio..,ORI,Financials
Southside Bancshares,SBSI,Financials
Black Hills,BKH,Utilities
Consolidated Edison,ED,Utilities
Clorox,CLX,Consumer Staples
National Fuel Gas,NFG,Utilities
Medtronic,MDT,Health Care
Arrow Financial,AROW,Financials
Sonoco Products,SON,Materials
Community Bank System,CBU,Financials
Tompkins Financial,TMP,Financials
New Jersey Resources,NJR,Utilities
Westamerica Bancorp,WABC,Financials
Chevron,CVX,Energy
Exxon Mobil,XOM,Energy
Bank Ozk,OZK,Financials
Coca-Cola,KO,Consumer Staples
MDU Resources Group,MDU,Industrials
J M Smucker,SJM,Consumer Staples
PepsiCo,PEP,Consumer Staples
Johnson & Johnson,JNJ,Health Care
1st Source,SRCE,Financials
Cincinnati Financial,CINF,Financials
Procter & Gamble,PG,Consumer Staples
Cardinal Health,CAH,Health Care
Colgate-Palmolive,CL,Consumer Staples
Sysco,SYY,Consumer Staples
Cullen/Frost Bankers,CFR,Financials
Atmos Energy,ATO,Utilities
Polaris,PII,Consumer Discretionary
Target,TGT,Consumer Discretionary
Matthews International,MATW,Industrials
Essential Utilities,WTRG,Utilities
Hormel Foods,HRL,Consumer Staples
Enterprise Bancorp,EBTC,Financials
Emerson Electric,EMR,Industrials
MGE Energy,MGEE,Utilities
Nextera Energy,NEE,Utilities
Illinois Tool Works,ITW,Industrials
General Dynamics,GD,Industrials
Aflac,AFL,Financials
Raytheon Technologies,RTX,Industrials
Genuine Parts,GPC,Consumer Discretionary
McDonald's,MCD,Consumer Discretionary
Air Products and Chemic..,APD,Materials
McCormick & Company,MKC,Consumer Staples
Andersons,ANDE,Consumer Staples
Lowe's Companies,LOW,Consumer Discretionary
Automatic Data Processing,ADP,Information Technology
A O Smith,AOS,Industrials
PPG Industries,PPG,Materials
McGrath RentCorp,MGRC,Industrials
Archer-Daniels-Midland,ADM,Consumer Staples
RPM International,RPM,Materials
SJW Group,SJW,Utilities
Canadian National Railway,CNI,Industrials
BancFirst,BANF,Financials
Erie Indemnity,ERIE,Financials
Caterpillar,CAT,Industrials
Artesian Resources,ARTNA,Utilities
ABM Industries,ABM,Industrials
York Water,YORW,Utilities
Brady,BRC,Industrials
UMB Financial,UMBF,Financials
Lancaster Colony,LANC,Consumer Staples
American States Water,AWR,Utilities
California Water Servic..,CWT,Utilities
Parker-Hannifin,PH,Industrials
Walmart,WMT,Consumer Staples
Commerce Bancshares,CBSH,Financials
Tennant,TNC,Industrials
Thomson Reuters,TRI,Industrials
Donaldson Company,DCI,Industrials
Lincoln Electric Holdings,LECO,Industrials
Chubb,CB,Financials
Linde,LIN,Materials
Becton Dickinson and Co,BDX,Health Care
Dover,DOV,Industrials
Rli,RLI,Financials
MSA Safety,MSA,Industrials
Ecolab,ECL,Materials
Aptargroup,ATR,Materials
SEI Investments,SEIC,Financials
Graco,GGG,Industrials
Church & Dwight Co,CHD,Consumer Staples
Stepan,SCL,Materials
Expeditors Internationa..,EXPD,Industrials
WW Grainger,GWW,Industrials
Nucor,NUE,Materials
First Financial,THFF,Financials
Stryker,SYK,Health Care
Jack Henry & Associates,JKHY,Information Technology
H.B. Fuller Company,FUL,Materials
Sherwin-Williams,SHW,Materials
Carlisle Companies,CSL,Industrials
Nordson,NDSN,Industrials
Cintas,CTAS,Industrials
S&P Global,SPGI,Financials
Franklin Electric Co,FELE,Industrials
Tootsie Roll Industries,TR,Consumer Staples
Renaissancere Holdings,RNR,Financials
Badger Meter,BMI,Information Technology
Brown & Brown,BRO,Financials
Roper Technologies,ROP,Information Technology
Albemarle,ALB,Materials
West Pharmaceutical Ser..,WST,Health Care
Altria,mo,Health Care
Lockheed Martin,lmt,Tech
